"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif"
"KLHL2P1",-0.985892835673799,-4.95413572778828,-2.43176936191853,0.0153578334055083,0.0294290915568706,-4.88308123995768,FALSE
"LOC93463",-0.261323670854766,-9.68771096408318,-2.43142225475802,0.0153723884180676,0.0294554273932052,-4.88391614779226,FALSE
"CTDSPL2",0.245233020448385,1.31730359168242,2.43139874120007,0.0153733748366159,0.0294557626910162,-4.88397270148285,FALSE
"MYMK",0.838856176398191,-7.79094366729679,2.43125187284626,0.0153795373834795,0.0294660150186145,-4.88432593015621,FALSE
"TGFB1I1",-0.269775464400102,1.97274064272212,-2.43111115593974,0.0153854438631516,0.0294757756848357,-4.88466434459794,FALSE
"PLXNA1",0.323771749199308,0.719930623818526,2.43087887609527,0.0153951980047044,0.0294929063680814,-4.88522291968301,FALSE
"GPR37",-0.667365516136984,1.27289924385633,-2.43075647393856,0.015400340241728,0.0295012005865419,-4.88551724534232,FALSE
"PARP8",-0.308476363636366,1.80746956521739,-2.4305853973971,0.0154075298786984,0.0295134157631064,-4.88592858812609,FALSE
"ANGPTL4",-0.434791589061351,5.53757315689981,-2.43006019248282,0.0154296205744654,0.0295541714053223,-4.88719123345836,FALSE
"TEX47",-0.21552841586589,-9.83694763705104,-2.42986756305778,0.0154377297841386,0.0295681437711188,-4.88765426705989,FALSE
"ZNRF3",0.33854136240453,1.47795897920605,2.42929718190568,0.0154617634468319,0.0296126134263715,-4.88902511211974,FALSE
"LOC100652871",0.345419512195223,-9.72485519848771,2.42910699813001,0.0154697843960175,0.0296264122057416,-4.88948212685052,FALSE
"TSPY10",0.662843051244211,-9.10877835538752,2.42878730090372,0.0154832758154085,0.0296475575153046,-4.89025028569164,FALSE
"LOC124909197",0.662843051244211,-9.10877835538752,2.42878730090372,0.0154832758154085,0.0296475575153046,-4.89025028569164,FALSE
"RPL18AP16",0.344459827543846,-9.65689716446125,2.42880546405839,0.0154825090409841,0.0296475575153046,-4.89020664646078,FALSE
"SLX1A",-0.187829457994582,4.92202570888469,-2.42830543308201,0.0155036305555477,0.0296849671816518,-4.89140791634077,FALSE
"LBHD1",-0.206250054200543,1.37292230623819,-2.42824080951346,0.0155063621365159,0.0296886314302565,-4.89156314976762,FALSE
"GAPDHP15",-0.419633577235684,-9.44054253308128,-2.42788051563579,0.0155215992260746,0.0297162371977076,-4.89242854407577,FALSE
"GPR153",-0.395435104705593,0.184457088846881,-2.42763957679277,0.0155317960757062,0.0297341909790219,-4.89300718799373,FALSE
"GREP1",0.42619585365854,-2.92712551984877,2.42721383025798,0.0155498286834475,0.0297671429118719,-4.89402953276965,FALSE
"ZSCAN4",-0.624894385316535,-7.98219017013233,-2.42716966677135,0.015551700296892,0.0297691558994661,-4.89413557247384,FALSE
"ATP1A4",0.807245634392741,-7.15294366729679,2.42681283335123,0.0155668299069331,0.0297965458714251,-4.8949922859452,FALSE
"MTHFD1",-0.259077782705111,6.40191644612476,-2.42654649403854,0.0155781310627879,0.0298166052784068,-4.89563165383925,FALSE
"PIAS4",0.178749140182309,2.79869092627599,2.42607835781167,0.0155980122950398,0.0298530840049686,-4.89675528436331,FALSE
"AGMAT",0.30157919931017,4.12607542533081,2.4256156268832,0.0156176859690093,0.0298891616596904,-4.8978657326405,FALSE
"SEC14L2",-0.433757967479687,5.54790604914934,-2.42528474257505,0.0156317674159627,0.0299145336584354,-4.89865965220813,FALSE
"RASA2-IT1",-0.233936868686744,-9.83038998109641,-2.42512782466569,0.0156384492881415,0.0299257431528109,-4.89903612200551,FALSE
"TMSB15C",-0.606069514658777,-5.2080988657845,-2.42482280521378,0.0156514448247918,0.0299490326595733,-4.89976784165257,FALSE
"CCDC166",0.316005237743374,-9.62302911153119,2.42442060713104,0.0156685952798045,0.0299802697265541,-4.90073254824054,FALSE
"TEX13A",-0.183438270509891,-9.85578128544423,-2.42393674413973,0.015689250044693,0.0300182082892742,-4.90189292774124,FALSE
"POM121",-0.309137117516634,3.03926729678639,-2.42333984880127,0.0157147629365374,0.0300654374069381,-4.90332406454407,FALSE
"GK3",-0.702334057649644,-5.91599924385633,-2.42305626819865,0.0157268967438922,0.0300870660711479,-4.90400386638165,FALSE
"GLYATL1P1",-0.654606398127573,-7.59540586011342,-2.42300724304771,0.0157289952629283,0.030089494995761,-4.90412138200399,FALSE
"RPL7P37",0.326931943828638,-9.65027655954631,2.42289131028014,0.0157339587417787,0.0300974040304214,-4.90439926912053,FALSE
"NCKAP1L",0.363559339738851,0.72076427221172,2.42280634414212,0.0157375973104924,0.0301027779517434,-4.90460292196486,FALSE
"FAH",0.203600448386291,6.96559981096408,2.42254498823071,0.015748794204485,0.030122608062438,-4.90522931450174,FALSE
"LOC283804",0.283335040650506,-9.73200586011342,2.4223622859548,0.0157566256269813,0.030135999309012,-4.90566715837857,FALSE
"IGHV3-73",-1.24062886425226,-3.80886994328923,-2.42223324063504,0.0157621591463779,0.0301449944245648,-4.90597639452516,TRUE
"CCND2-AS1",-0.51113672825808,-9.34815784499055,-2.42216514172614,0.0157650799481096,0.0301489920554382,-4.90613957600426,FALSE
"UNC13B",0.249946001478192,2.62372306238185,2.42191385013814,0.0157758621219332,0.0301680224879259,-4.9067416926878,FALSE
"HYCC1",-0.267455486573049,1.04073156899811,-2.42170528609711,0.0157848159230325,0.0301835547209231,-4.90724138402819,FALSE
"FIGLA",0.55942448139943,-9.07417807183365,2.42152345904507,0.0157926255434182,0.0301968975428825,-4.90767698280898,FALSE
"NR2F1",-0.406209206701157,2.45620926275992,-2.42112021882435,0.015809957201273,0.0302284449785848,-4.90864290177438,FALSE
"AVP",-0.91017629958114,-7.43369508506616,-2.42078044564367,0.0158245740051565,0.0302547985969972,-4.90945667008965,FALSE
"MMP24OS",0.268222155703359,4.88656086956522,2.4199106092661,0.0158620480830772,0.0303248476650403,-4.91153944880435,FALSE
"DAPL1",-0.865816437546187,-4.71504612476371,-2.41981165121474,0.0158663163240659,0.030331410231182,-4.91177635242009,FALSE
"OR52I1",-0.390798233554984,-9.49748846880907,-2.41966773718203,0.0158725254060567,0.0303416475888277,-4.91212086285683,FALSE
"MIR9-3HG",0.672921842818427,-4.00792098298677,2.41964878743206,0.0158733431409445,0.0303416475888277,-4.91216622446365,FALSE
"MTCO3P24",-0.222228036462086,-9.83188241965973,-2.41919723553126,0.0158928398665847,0.030377315711715,-4.91324703936967,FALSE
